onset	duration	sample	value
0	n/a	0	boundary
73.926	0.002	36963	202
78.178	0.002	39089	4
78.806	0.002	39403	201
79.76	0.002	39880	103
80.142	0.002	40071	201
81.17	0.002	40585	3
81.702	0.002	40851	201
82.702	0.002	41351	2
83.046	0.002	41523	201
84.152	0.002	42076	5
84.558	0.002	42279	201
85.594	0.002	42797	102
86.006	0.002	43003	201
87.07	0.002	43535	6
87.414	0.002	43707	201
88.654	0.002	44327	1
89.022	0.002	44511	202
90.212	0.002	45106	104
90.878	0.002	45439	201
91.646	0.002	45823	101
92.11	0.002	46055	201
94.854	0.002	47427	202
100.518	0.002	50259	202
104.738	0.002	52369	162
105.254	0.002	52627	201
106.172	0.002	53086	37
106.574	0.002	53287	201
107.588	0.002	53794	44
107.958	0.002	53979	201
109.148	0.002	54574	42
109.502	0.002	54751	201
110.706	0.002	55353	14
111.094	0.002	55547	201
112.24	0.002	56120	172
112.686	0.002	56343	201
113.798	0.002	56899	110
114.262	0.002	57131	201
115.39	0.002	57695	117
115.902	0.002	57951	201
116.906	0.002	58453	76
117.254	0.002	58627	201
118.44	0.002	59220	73
118.766	0.002	59383	201
119.982	0.002	59991	145
120.286	0.002	60143	202
121.574	0.002	60787	130
121.934	0.002	60967	201
123.048	0.002	61524	167
123.374	0.002	61687	201
124.616	0.002	62308	21
124.99	0.002	62495	202
126.174	0.002	63087	56
126.718	0.002	63359	202
127.716	0.002	63858	70
128.238	0.002	64119	201
129.208	0.002	64604	35
129.622	0.002	64811	201
130.766	0.002	65383	34
131.046	0.002	65523	201
132.292	0.002	66146	116
132.742	0.002	66371	201
133.842	0.002	66921	40
134.142	0.002	67071	201
135.284	0.002	67642	164
135.646	0.002	67823	201
136.85	0.002	68425	148
137.078	0.002	68539	202
138.292	0.002	69146	46
138.678	0.002	69339	201
139.8	0.002	69900	141
140.166	0.002	70083	201
141.376	0.002	70688	61
141.75	0.002	70875	201
142.958	0.002	71479	134
143.422	0.002	71711	201
144.4	0.002	72200	63
144.798	0.002	72399	201
146	0.002	73000	28
146.43	0.002	73215	201
147.468	0.002	73734	139
147.854	0.002	73927	201
148.884	0.002	74442	25
149.326	0.002	74663	201
150.31	0.002	75155	131
150.766	0.002	75383	201
151.902	0.002	75951	24
152.35	0.002	76175	201
153.394	0.002	76697	36
153.83	0.002	76915	201
154.984	0.002	77492	107
155.43	0.002	77715	201
156.552	0.002	78276	19
156.958	0.002	78479	201
158.118	0.002	79059	54
158.47	0.002	79235	202
159.56	0.002	79780	161
160.142	0.002	80071	201
161.152	0.002	80576	57
161.67	0.002	80835	201
162.686	0.002	81343	142
163.23	0.002	81615	201
164.286	0.002	82143	153
164.694	0.002	82347	201
168.854	0.002	84427	202
177.854	0.002	88927	202
180.87	0.002	90435	171
181.39	0.002	90695	201
182.288	0.002	91144	159
182.734	0.002	91367	201
183.722	0.002	91861	128
184.094	0.002	92047	201
185.212	0.002	92606	55
185.782	0.002	92891	201
186.738	0.002	93369	50
187.102	0.002	93551	201
188.18	0.002	94090	45
188.51	0.002	94255	201
189.672	0.002	94836	105
190.054	0.002	95027	201
191.264	0.002	95632	178
191.598	0.002	95799	201
192.696	0.002	96348	20
193.046	0.002	96523	201
194.106	0.002	97053	8
