onset	duration	sample	value
0	n/a	0	boundary
12.714	0.002	6357	202
16.982	0.002	8491	104
17.722	0.002	8861	201
18.466	0.002	9233	103
19.002	0.002	9501	201
20.006	0.002	10003	4
20.45	0.002	10225	201
21.598	0.002	10799	2
22.37	0.002	11185	201
23.082	0.002	11541	1
23.562	0.002	11781	201
24.666	0.002	12333	3
24.986	0.002	12493	201
26.258	0.002	13129	102
26.706	0.002	13353	201
27.74	0.002	13870	101
28.098	0.002	14049	201
29.342	0.002	14671	6
29.714	0.002	14857	201
30.916	0.002	15458	5
31.346	0.002	15673	201
34.058	0.002	17029	202
35.09	0.002	17545	202
39.408	0.002	19704	14
39.914	0.002	19957	201
40.85	0.002	20425	172
41.378	0.002	20689	201
42.35	0.002	21175	170
42.746	0.002	21373	201
43.768	0.002	21884	11
44.17	0.002	22085	201
45.26	0.002	22630	161
45.65	0.002	22825	201
46.834	0.002	23417	108
47.122	0.002	23561	201
48.302	0.002	24151	148
48.65	0.002	24325	201
49.834	0.002	24917	171
50.146	0.002	25073	201
51.394	0.002	25697	3
51.77	0.002	25885	201
52.844	0.002	26422	13
53.282	0.002	26641	201
54.418	0.002	27209	28
54.85	0.002	27425	201
55.886	0.002	27943	117
56.226	0.002	28113	201
57.386	0.002	28693	163
57.73	0.002	28865	201
58.936	0.002	29468	149
59.226	0.002	29613	201
60.52	0.002	30260	103
60.778	0.002	30389	201
62.052	0.002	31026	107
62.37	0.002	31185	201
63.552	0.002	31776	111
63.85	0.002	31925	201
65.036	0.002	32518	128
65.298	0.002	32649	201
66.636	0.002	33318	123
66.866	0.002	33433	201
68.062	0.002	34031	80
68.33	0.002	34165	202
69.578	0.002	34789	79
69.866	0.002	34933	201
71.054	0.002	35527	2
71.538	0.002	35769	202
72.52	0.002	36260	133
73.114	0.002	36557	201
74.012	0.002	37006	164
74.426	0.002	37213	201
75.612	0.002	37806	22
75.978	0.002	37989	201
77.12	0.002	38560	10
77.426	0.002	38713	201
78.688	0.002	39344	139
79.234	0.002	39617	201
80.112	0.002	40056	56
80.41	0.002	40205	201
81.68	0.002	40840	47
81.994	0.002	40997	201
83.246	0.002	41623	64
83.602	0.002	41801	201
84.746	0.002	42373	168
85.306	0.002	42653	201
86.346	0.002	43173	38
86.786	0.002	43393	201
87.872	0.002	43936	21
88.442	0.002	44221	201
89.356	0.002	44678	140
89.818	0.002	44909	201
90.806	0.002	45403	4
91.258	0.002	45629	201
92.288	0.002	46144	45
92.922	0.002	46461	201
93.84	0.002	46920	175
94.242	0.002	47121	202
95.414	0.002	47707	36
95.914	0.002	47957	201
96.88	0.002	48440	173
97.322	0.002	48661	201
98.464	0.002	49232	73
98.922	0.002	49461	201
100.81	0.002	50405	202
101.642	0.002	50821	202
104.656	0.002	52328	145
105.218	0.002	52609	201
106.166	0.002	53083	138
106.602	0.002	53301	201
107.748	0.002	53874	19
